category,text
politics,custodi death rat shock mp death custodi reach shock leve committe mp peer warn joint committe human right found commit suicid mainli vulnerab menta health drug alcoho problem member urg government set task forc tackl death prison polic cell detention centr specia hospita one prison suicid everi four day mp said report follow year long inquiri committe found high death rat amount seriou failur protect right lif highli vulnerab group mani end tak liv present authoriti problem even offend report said question whether prison appropriat plac kept whether early interven would meant custodi could avoid increa resourc reduction use imprison need address issue long term report said committe chairman labour mp jean corston said everi death custodi death mani regardless circumstanc yet throughout inquiri see tim tim extrem vulnerab peopl enter custodi histori menta illness drug alcoho problem potentia tak liv highli vulnerab peopl held within structur glaringli ill suit meet even basic need crim leve fall hold peopl custodi ever misplac relianc prison system vulnerab peopl countri heart problem encounter chang whol approach imprison vulnerab peopl cannot begin meet positiv obligat artic european convention human right meet duti car committe also highlight deepli worri ca child young peopl tak liv child taken liv prison two di secur train centr pick ca joseph schol hang bar cell stok heath young offender institu march urg hom secretari hold public inquiri revea two week court appearanc seri robberi year old depress exhibit suicida tendencus slash fac knif tim even though trial judg alert experienc sexua abus menta illness sentenc two year detention train order nin day sentenc joseph hung bar cell window sheet
entertainment,music treatment capra film classic film wonder lif turn music producer controversi hit show jerri springer opera frank capra movi star jam stewart turn m music producer jon thoday work stev brown wrot award win music spend spend spend spokeswoman said plan earli stag cast open dat theatr announc seri workshop held london wednesday cast singer unvei music select group potentia investor mr thoday said idea turn film music ambition almost year wonder lif ba short stori great gift philip van doren stern mr thoday manag buy right stori van doren stern famili follow mr brown success spend spend spend later secur film right paramount enab use titl wonder lif
politics,ukip candidat suspend euroscept parto ukip suspend candidat allegedli suggest crimina insan kill john houston due stand east kilbrid seat lanarkshir next election suspend report view includ return british empir sent two scottish newspaper ukip spokesman mark croucher said select mr houston know noth view episod com difficult tim ukip soon high profi departur mep robert kilroy silk mr houston alleg said organ crimina insan mad availab law abid member communiti propos legali drug sex trad document reportedli said re look resurrec british empir problem human rac environment other dealt globa scal call radic allianc english speak nation uniqu able mr croucher said main issue would mr houston report view present ukip policus said might submission committe work parto manifesto would match mr houston stand becom candidat told bbc new appear said thing suspend member candidat account non mention selection meet simpli distraction task hand eu constitu individu idiocus mr houston quot herald newspaper say feel ukip react overshot runway peter nielson ukip scotland chairman said suspend mr houston friday night remain suspend matter investig decid action taken said evidenc would look mr houston may interview parto ad comment much moment one version haven see paper yet
business,economi strong election year uk busi set prosper next month could trigger interest rat ris accord report optimism high sinc busi reap benefit continu ris public spend say researcher bdo stoy hayward bank england expect keep rat hold week could go later year rat likeli ris anticip genera election may bdo optimism index lead indic gdp growth two quarter ahead edg januari october ris due part increa public spend increa merger acquisi activ thing blight busi optimism year uncertainti associat genera election bdo said bdo output index predict gdp movement quarter advanc remain januari impli gdp growth second quarter however output index held back recent interest rat ris sterl strength dollar high oil pric group not inflat index rise continuous last month climb januari october last year uk look strong go genera election busi need prepar jolt ahead bank england react growth inflationari pressur said peter hemington partner bdo stoy hayward growth probabli slow end likeli see high interest rat sharp drop demand product servic
entertainment,springer criticis opera music talk show host jerri springer who programm inspir controversi opera show bbc said would write bbc receiv complaint music broadcast protester demonstrat outsid bbc building across uk springer help launch west end show attend open night wouldn write believ mak fun religion said tv host said understand peopl could thought music gon far know tv show peopl use inappropri languag bleep nuditi cover viewer hom get see said ask whether thought bbc screen controversi music said know televi good lord lik televi god gav us remot contro show dysfunction peopl defi anyon watch show suggest peopl aren degre dysfunction show war iraq wouldn mak warmonger would job report war ca show job report dysfunction tak plac societi british born presenter london speak fundrais dinner unit jewish isra appea dinner tuesday expect attend guest
politics,top judg clash minister uk top judg revea clash minister head public inquiri choose lord woolf said determin current veto whether judg chair inquiri continu guard judicia independ told mp lord chancellor lord falconer insist fina say ca lord hutton inquiri death dr david kelli spark debat run inquiri government say lord chancellor would unlik go lord woolf wish lord woolf lord chief justic england wal giv evidenc common public administr select committe inquiri public inquiri said involv choic lord hutton law lord com jurisdic argu veto whether judg genera chair particular inquiri judg write evidenc committe lord woolf said far fail reach agreement lord chancellor issue intend maintain position press safeguard futur legislat judg think carefulli head inquiri highli politic issue intellig iraq weapon mass destruction said argu subject matter inquiri may politic would damag judiciari judg involv addition question whether inquiri may highli controversi judg appoint judiciari result appointment may see sid inappropri government told mp anyth tend undermin confidenc public judiciari worri lord woolf said current rul write inconceiv practic lord chancellor would overru concern situat could chang new lega reform issue overlook new agreement draw responsib disput emerg later discussion ask situat lord chancellor cannot obtain agreement appoint judg doesn happen said lord woolf said think would difficulto want establish princip department constitu affair spokeswoman said lord woolf lord falconer agree happen practic disagr whether legislat includ requir consultat concurrenc narrow disput lord woolf word said lord woolf also acknowledg highli unlik lord chancellor would appoint judg wish lord chief justic judg free decid whether accept position inquiri chair parliament examin issue next year debat new bill public inquiri
politics,blair dismiss quit claim report toni blair dismiss report told gordon brown would quit next genera election deal job lik prim minister told bbc one breakfast frost programm accord new book brown britain mr blair go back pledg mak way mr brown cabinet alli interven jun mr blair said claim reheat six month ago concentrat run countri mr blair said ve dealt six month ago said deal job lik us actualli concentrat issue concern countri book sunday telegraph journalist robert peston seriali newspaper said pair mutua animo contempt claim toni blair felt november lost voter trust iraq war long asset labour parto dinner host deputi prim minister john prescott told mr brown intention stand accord mr peston prim minister said help get year stand chang mind jun follow interven alli cabinet suspicion chancellor deliber manoeuvr accord book mr peston told bbc new understand nearli clo friendli book say pretto profound mutua mistrust mutua animo think public see doubl act pretend everyth alright privat think relationship good brown understand feel deepli betray particularli issue leadership wid ring bbc interview cover issue asian tsunami disaster middl east peac process northern ireland mr blair said get top politic get hug swell around sort peopl mak sort claim counter claim admit sen frustrat allegat said mad countless tim fresh speculat rift recentli follow separat respon asian tsunami rumour fuell mr blair decision hold monthli media conferenc tim long plan speech mr brown uk plan tackl globa poverto new marshal plan africa speculat pair try outdo respon disaster prim minister said discuss claim chancellor dismiss load nonsen former welfar minister frank field mp said prim minister sack mr brown believ mr blair strong enough tori leader micha howard accus prim minister mr brown squabbl lik schoolboy told sky new sunday adam boulton politic playground britain realli deserv better libera democrat parliamentari chairman matthew taylor said persona ambition mr blair mr brown get way good government either need grow put squabbl one sid cannot expect elector support divid government next election interview mr blair also said former hom secretari david blunkett would play big rol genera election
entertainment,star gear bafta ceremoni film star across glob prepar walk red carpet year bafta award ceremoni oring british academi film award held odeon london leicester squar host hollywood star includ cat blanchett leonardo dicaprio keanu reev richard ger expect attend saturday ceremoni host stephen fry glitter ceremoni broadcast bbc one gmt actor expect add glamour big night uk film gael garcia berna imelda staunton dian kruge christian slater anjelica huston helen mirren former jam bond star pierc brosnan hollywood blockbuster aviat star dicaprio lead field nominat includ best film eterna sunshin spotless mind find neverland motorcyc diari british film vera drak nominat british hop imelda staunton one favourit land best actress award gritti rol backstreet abortionist small budget film nomine best actress categori includ charliz theron monster ziyi zhang hous flying dagger uk star kat winslet two nod rol eterna sunshin spotless mind find neverland dicaprio fac competi berna jami foxx jim carrey johnni depp best actor categori british actor cliv owen hop repeat golden glob success best support actor award rol close co star natali portman blanchett heather craney juli cristi meryl streep best support actress categori mik leigh best director award vera drak alongsid martin scorse aviat micha mann collater miche gondri eterna sunshin spotless mind marc forster find neverland
politics,fox attack blair tori li toni blair li take uk war qualm lie election campaign say tori tori co chairman liam fox speak mr blair told labour member tori offer hard right agenda dr fox told bbc radio will lie reason go war guess go lie anyth would discuss report parto repaid lord ashcroft predict election defeat prim minister ratchet labour pre election campaign weekend helicopt tour countri speech parto spring conferenc insist know poll dat wideli expect may see highli persona speech gateshead sunday mr blair said passion hunger first walk door down street describ relationship public start euphoric struggl liv expectat reach point rais voic throw crockeri warn supporter complacenc say fight futur countri fight britain peopl britain win mr blair said whether public cho micha howard mr kennedi would result tori government labour government countri goe back mov forward dr fox accus mr blair cabinet minister tell li opponent policus attack li learn weekend labour tactic go go fear smear told bbc new tori co chairman attack labour six new pledg vacuou said mr blair worri voter would tak reveng failur deliver dr fox refus discuss weekend newspaper report parto repaid former tori treasurer lord ashcroft said parto could win election repay loan due comment individu financia matter said insist enjoy warm constructiv relationship lord ashcroft meanwhi lib dem leader charl kennedi expect attack mr blair word begin nationwid tour monday mr kennedi acceler lib dem election preparat week visit manchester liverpoo leicester somerset basingstok shrewsburi dorset torbay said three parto politic northern citi contest labour libera democrat southern rura seat especia south west principa contender libera democrat conserv run scotland wal lib dem accus mr blair mak touchi feeli speech labour delegat help regain public trust
sport,red sink man magpi titu brambl goal put liverpoo comeback trail injuri hit newcast well beat anfield patrick kluivert clo ring finish put newcast ahead minut peg back brambl head steven gerrard corner neil mellor gav liverpoo lead half tim milan baro pass czech ad third round shay give hour newcast lee bowyer sent two bookab offenc liverpoo brought back lui garcia hamstr injuri newcast forc draft kluivert craig bellami lat withdrawa back injuri sustain warm garcia crown return goal insid open minut take pass baro shot wildli top eight yard olivy bernard inche away giv newcast lead minut fir wid free kick yard souness sid go ahead minut later highli controversi circumstanc kluivert look suspicious offsid kieron dyer set bowyer free dutchman perfectli plac scor six yard lead last three minut liverpoo back term brambl head gerrard corner net pressur sami hyypia liverpoo ahead minut baro slid perfect pass mellor path youngster slip slid rul finish give bottom corner garcia finish wayward wast first half injuri tim shoot tameli give good work xabi alonso hop newcast recoveri look snuf hour brilliant turn pass harri kewel set baro free round give scor jermain jena miss gloriou chanc throw newcast lifelin shoot eight yard shola ameobi cross bowyer alreadi book foul alonso deservedli show red card refere graham poll wild challeng liverpoo substitut florent sinama pongol dudek finnan hyypia carragh riis lui garcia nunez gerrard alonso kewel traor baro mellor sinama pongol sub us hamann harrison brambl og mellor baro give andraw o brien elliott brambl bernard bowyer dyer ambro jena milner n zogbia kluivert robert ameobi sub us harp bowyer bowyer elliott bernard kluivert g poll hertfordshir
business,australia rat four year high australia rais benchmark interest rat high leve four year despit sign slowdown countri economi reserv bank australia lift interest rat first upward mov year however shortli bank mad decision new figur show fall econom growth last quarter bank said act curb inflat mov criticis analyst rat hik first sinc december well flag advanc however opposi parto analyst said mov ill tim give data show australian economi grow october december annuum basi figur represent declin growth gdp see juli september market expectat consumer spend remain strong however bank concern grow inflationari pressur recent month becom increasingli clear remain spar capaciti labour good market becom rather limit said ian macfarlan governor reserv bank inflat remain within bank target ring however export declin second half fuell ris countri current account deficit differenc valu import compar export record australian dollar bn australian government said economi remain strong unemploy near year low economi strong properli moderat doesn look lik slow unreason way said treasurer peter costello stock market factor likelihood rat ris analyst still express concern strength economi annuum growth rat low see sinc post election slump saw back said micha blythe chief economist commonwealth bank australia suggest economi realli slow sharpli second half
politics,common hunt protest charg eight protester storm hous common chamber debat hunt bill charg disorderli conduct man arrest september burst chamber cau hunt ban debat halt charg includ oti ferri year old son rock star bryan ferri luk tomlinson clo friend princ william harri charg section public order act polic said fiv eight man held impromptu new conferenc outsid char cross polic station monday even charg formerli put man solicitor matthew knight said tim occur man commit crimina offenc offenc trespass hous common crimina offenc said parliament want mak enter hous common chamber foot crimina offenc don retrospect prosecut prosecut public order act offenc guilto appear bow street magistrat court december polic spokesman said oti ferri former eton pupi joint leader south shropshir hunt said regret don noth wrong beyond obviou stand right act lik sheep lik rest countri one man david redver hartpuri gloucestershir said seven protester would plead guilto charg protester john holliday huntsman ledburi herefordshir robert tham play polo princ charl team highgrov auctioneer andraw elliot bromesberrow near ledburi point point jockey richard wakeham york former roya chef nick wood september protest cam day hug pro hunt demonstrat parliament squar four man run behind speaker chair another wrestl past doorkeeper different entranc fiv tri confront mp bundl chamber later led away handcuf polic three other intercept securiti staff tri join fiv chamber speaker micha martin later said man us forg letter gain access hous common help get clo chamber parliamentari pass holder november use parliament act meant tota ban hunt dog england wal however mani pro hunt activist remain defiant law pass say would ignor ban continu hunt last week countrysid allianc said hunt would meet legalli day ban hunt dog com forc allianc said februari meet would show new law impossibli difficult determin open different interpret
politics,mp debat euthanasia law mp prepar debat bill critic claim would legali euthanasia back door bill would giv lega forc liv will peopl say want medic treatment withheld becom sever incapacit menta capaciti bill broad support chariti say would giv better safeguard treatment christian group say could mean doctor withhold food fluid even think inappropri minister insist menta capaciti bill england wal would chang law assist suicid contain presumption favour preserv lif bill would establish lega presumption everybodi mak decision treatment unless prov otherwis would allow peopl giv somebodi power attorney mak decision behalf could challeng doctor critic fear could allow kill omission withdraw treatment amendment bill specific prevent decision would bring death tabl former conserv leader iain duncan smith nineti one mp sign petition back amendment mp could vot later tuesday bill report stag debat bill go third read debat lord becom law christian medic fellowship cmf lawyer christian fellowship lcf said menta capaciti bill would allow euthanasia back door peter saunder cmf said believ advanc refusa advisori legalli bind cmf concern patient mak unwis hasti advanc decision refus food fluid without properli inform diagnosi expect cour illness tak said lcf andrea william said mani loopho could abus unscrupulou doctor ex labour minister frank field told bbc two newsnight programm danger peopl would feel pressur away rel could inherit asset constitu affair minister david lammi said law affect peopl dementia need updat mr lammi told bbc new labour mp would get free vot law strengthen chang euthanasia assist suicid situat peopl mak liv will forc common law said doctor say want clariti patient say want clariti mak decision allianc includ alzheimer societi age concern mencap nat autistic societi said misunderstanding bill clear chang current law euthanasia actualli provid seri better safeguard decision mad peopl lack capaciti allianc said statement british medic associat also back bill say giv incapacit peopl right other debat legali euthanasia intensifi uk ca lik motor neuron patient dian pretto di two year ago lo lega battl allow husband help commit suicid
business,chine export ris export china leapt previou year countri continu show breakneck growth spurt put china trad surplu sor point trad partner six year high may also increa pressur china relax peg join currencus yuan weaken dollar figur relea ministri commerc com china tax chief confirm growth top second year row stat administr taxat head xie xuren said tighten contro tax evasion combin rapid expansion produc ris tax revenu trillion yuan bn bn accord ministri commerc china export total bn december tak annuum tota bn import ris similar amount deficit ro bn increa tax tak com despit healthi tax rebat mani exporter total bn yuan accord mr xie china export success mad trad deficit unit stat soar even mad trad china sensitiv politic issue washington peg keep yuan around dollar often blam us lawmaker job loss hom us report issu tuesday behalf congression mandat pane said almost million post disappear pac acceler fina three year period said report us china econom securiti review commission mov labour intensiv industri hi tech sector us overal trad deficit china bn expect ris bn
entertainment,carri star patsi rowland di actress patsi rowland know million rol carri film di age rowland star nin popular carri film alongsid fellow regular sid jam kenneth william barbara windsor also carv success televi career appear mani year itv well lov comedi bless hous rowland di hov saturday morn agent said born januari rowland win scholarship guildhal school speech drama scholarship spend severa year player theatr london mad film debut tom jon direct toni richardson mad first carri film appear carri doctor rowland play hard don wif put upon employe regular carri star also appear carri convenienc carri matron carri lov well other recent year appear bbc minus seri cazalet play mr pott london stag version beauti beast agent simon beresford said absolut favourit client never complain anyth particularli ill old trouper old school skill music theatr high drama work great good director didn mind alway recogni carri film thoroughli enjoy mak realli loveli person much miss last appearanc stag mr pearc award win production fair ladi nat theatr previousli marri leav one son alan funera privat famili occasion memoria servic later dat
sport,gb quartet get cross countri call four british athlet pre select compet world cross countri championship march impressiv start season hayley yell jo pavey karl keska adam hickey represent team gb event franc yell clinch woman european cross countri titl last month pavey follow bronz keska help man team overal third plac hickey finish th plac junior debut win european cross countri titl meant much said yell pre select world mean focu prepar best way possib year old rac alongsid olympic m finalist pavey woman km rac march keska mad success return long term injuri lay contest man km rac march year old hickey goe junior man km day rest team nam trial wollaton park nottingham tak plac march
business,yuko owner sue russia bn majoriti owner embatt russian oil firm yuko su russian government bn bn kremlin last year seiz sold yuko main production arm yugansk stat run oil group rosneft bn offset massiv back tax bill group menatep gibraltar ba hold compani contro yuko say illega menatep alreadi ask rosneft repay m loan yugansk secur asset russian government argument sell yuganskneftegaz unit full nam yuko ow bn back taxe year onward accus firm us web offshor firm avoid tax liabl court sent bailiff freez yuko account seiz yugansk critic say sell assault yuko financ part attempt bring energus industri back stat contro accord menatep government action contrari energus charter treati design regulat disagr energus investment warn russian government continu attack yuko personne sharehold warn buyer yuganskneftegaz would fac lifetim litigat said tim osborn director group menatep tim warn action recover valu loss begin earnest today menatep said valu yuko sharehold gon bn virtualli noth sinc result russian government action shar fall accord pari lawyer emmanue gaillard shearman sterl overal claim ba figur addition shar gain could accru sinc arbitrat lawsuit could tak plac stockholm hagu mr gaillard said russia sign charter never ratifi expert say could mak difficult menatep press ca mr gaillard told bbc new charter cam effect signatur ratific russia said past bound attract foreign investor said yuko still wait see happen fil us court bankruptcus protection take action try prevent forc sal yugansk first littl know shell compani turn bought rosneft yuko claim downfal punishment politic ambition founder mikhai khodorkovski mr khodorkovski currentli fac fraud tax evasion charg one founder menatep sinc sign sharehold one fellow investor
business,arsena may seek full shar list arsena vic chairman david dein said club may consider seek full list shar london stock exchang speak soccerex footbal busi forum dubai said full list one option fund club mov new stadium club currentli list small ofex shar exchang due mov new seater emirat stadium ashburton grov start season mr dein also warn current leve tv coverag premiership may reach saturat leve sign match attendanc drop first month season arsena mov new stadium see proportion turnover media earn drop season two year tim club hop increa matchday earn turnover rul money earn mean includ full shar list new stadium open go thorough financia review mr dein said list would one option flexib decision mad issue yet want best financia health mayb club list manchester unit success mr dein said although televi money coverag drive english gam forward past year fear might mani gam show sinc format premier leagu season premiership club see incom televi soar televi driv forc past year must constantli improv want remain world lead leagu competi must monitor qualiti product ensur attendanc declin must balanc quantiti exposur tv think practic reach saturat point sometim think less club fund mov ashburton grov number sourc includ debt bank money alreadi receiv com year sponsor sal surplu properto includ highburi stadium also look creat new revenu stream oversea market includ asia two execut travel round japan china moment build relationship organi club know supporter club grow around world got good product important go look market mak sur ca
sport,keegin hail comeback king fowler manchester citi boss kevin keegin prais striker robbi fowler landmark return form year old favour citi early season take premiership goal talli past brac monday win norwich still qualiti player know net got suppli ammuni end keegin said work hard get back former liverpoo striker mov citi poor stint leed battl back first team contention struggl fitness start season fowler overtake le ferdinand tuesday even becom third high scorer tim premiership goal trail alan shear andi col keegin believ still com former england forward get better suppli better ad keegin peopl want writ kept artic peopl write could throw back would left bit egg fac fowler doubl strik help citi com back two goal clinch dramatic win carrow road keegin sympathis norwich boss nige worthington afterward feel bit nige worthington said team got great character lot driv enthusiasm know killer blow norwich realli think brought someth premiership stadium atmospher great tough leagu stay find know
tech,blogger ground airlin us airlin attendant fight job suspend post blog onlin diari queen sky otherwis know ellen simonetti evolv anonymou semi fiction account lif sky post pictur uniform delta airlin suspend indefinit without pay m simonetti told suspension result inappropri imag delta airlin declin comment realli shock warn m simonetti told bbc new onlin never thought would get troubl blog thought problem someon would said someth tak action issue highlight concern amongst grow blog communiti conflict interest employment law free speech persona websit m simonetti suspend september pend investig sinc lodg complaint us equa employment opportun commission eeoc spokesperson delta airlin told bbc new onlin tell discuss interna employe issue media ad could say whether similar situat persona websit occur past m simonetti start persona blog januari help get mother death ensur mad mention airlin work creat fiction nam citi compani airlin nam chang anonymou airlin citi ba call quirksvil larg part blog contain fiction stori queen sky develop month character right accord m simonetti imag taken digita camera inherit mother often tak pictur flight layover though includ blog fun never meant someth harm compani understand think harm m simonetti said also claim pictur mal delta airlin employe uniform freeli availab web imag sit one show m simonetti flight wing tell pictur problem assum one pos seat skirt rod said imag remov soon learn suspend far m simonetti know compani anti blog policus guidanc suggest compani uniform cannot us without approva manag use persona pictur websit unclear jeffrey matsuura director law technologus programm univer dayton said persona websit hazardou employer employe mani examp employe present kind materia onlin get troubl employer said crucia policus acceptab express clearli reasonab enforc fairli compani policus remember employe tota free speech anymor said mr matsuura ad compani activ encourag employe blog one area becom problem encourag suit may particularli clear employe cross lin speculat delta might concern fiction content blog may link back airlin imag m simonetti uniform post whether success depend exactli prohibit whether reasonab say content cross lin said m simonetti said suspension cau two friend discontinu blog one ask stop blog compani action taken ask tak blog would don give option said blog thing obviousli new problem employer need get policus know would cost job would don
sport,kenyon deni robben barca return chelsea chief execut peter kenyon play report arjen robben return champion leagu match barcelona respond well treatment start run friday ll wait see told bbc fiv liv sportsweek re look get back soon possib ll back right us plan moment around barcelona gam comment contradict chiropractor jean pierr meersseman treat dutchman fractur foot start februari robben expect six week meersseman hint winger could fit vita stamford bridg gam march hop back try help mak happen meersseman told mail sunday put everyth right arjen foot last tim saw day ago obviou correction easi perform know plea run due see one tim next day meersseman medic co ordinat italian sid ac milan
tech,xbox power cabl fir fear microsoft said replac million power cabl xbox conso due safeti concern compani said mov prevent step report fir hazard problem cabl affect xboxe mad october region mainland europ conso region mad januari microsoft said receiv report minor injuri properto damag due faulto cabl firm said few one conso experienc component failur recal affect almost three quarter xboxe sold around world sinc launch statement ad almost instanc damag cau failur contain within conso limit tip power cord back conso seven ca customer report sustain minor burn hand ca customer report smok damag minor damag carpet entertain centr prevent step re choo tak despit rariti incident said robbi bach senior vic president microsoft hom entertain division regret inconveni believ offer consumer free replac cord responsib thing consumer order new cabl xbox websit telephon uk microsoft said customer would get replac cord within two four week tim order advis user turn xboxe use follow xbox expect relea end year begin
tech,soni war win innovat award soni taken priz top innovat annuum award pc pro magazin win award tak risk product brav commitment good design confer award pc pro staff pick soni pcg xp vaio laptop stun piec engineer electron giant beat strong competi toshiba chip maker am inte tak gong paul trotter new featur editor pc pro said severa soni product help tak innovat award said soni clie peg ux media player swive screen qwerto keyboard brok design rul yet soni product help includ vaio w desktop computer ra media server mr trotter said soni combin computer screen keyboard w likeli wideli copi futur hom pc compani also becom one first use organic led product alway invent new technologus soni never afraid innovat around variou format said mr trotter award decid pc pro staff contributor includ one canon eo  digita camera want hardwar categori microsoft media player take award want softwar year th anniversari pc pro award split priz two section first choose magazin writer consultant second vot reader mr trotter said peopl vot reliab servic award twic mani net ba memori video card shop crucia shar award onlin vendor year novatech
sport,almagro continu spanish surg unseed nicola almagro becam fifth spaniard reach last eight bueno aire open oust eighth seed mariano zabaleta show admirab resolv win rain affect match compatriot seventh seed rafa nada also reach last eight beat italian potito starac nada play outdoor clay event first tim hit power forehand oust starac match delay hour rain alway problem stop rain one get us said spanish teenager nada luckili able keep pac go throughout match play gaston gaudio beat unseed brazilian flavio saretta day lat match
business,deutsch boer set woo lse boss deutsch boer london stock exchang meet amid talk takeover bid lse rais bn bn last month german exchang tabl penc per shar offer lse valu bn pari ba euronext owner liff london also said interest bid lse euronext due hold talk lse week report readi rais bn fund bid euronext chief jean francoi theodor schedu meet lse counterpart clara fur friday deutsch boer chief werner seifert meet m fur thursday third meet two exchang sinc bid approach december lse reject deutsch boer propos bn offer december say undervalu busi agree leav door open talk find whether significantli improv proposa would interest lse sharehold customer meantim euronext combin pari amsterdam lisbon stock exchang also begin talk lse statement thursday euronext said offer likeli soleli cash ad assuranc stag offer mad deal either bidder would creat big stock market operat europ second big world new york stock exchang accord ft late meet deutsch boer adopt charm offensiv woo london exchang newspaper said german suitor offer manag combin cash equiti market london let m fur tak helm report week said deutsch boer might even consider sell luxembourg ba clearstream unit clear hous process securiti transaction ownership clearstream see main stumbl block london frankfurt merger lse sharehold fear deutsch boer takeover would forc use clearstream mak difficult negotiat lower transaction fee
sport,veteran martinez win thai titl conchita martinez win first titl almost fiv year victori anna lena groenefeld volvo woman open pattaya thailand year old spaniard cam first titl sinc berlin feel realli good said martinez play last season tour com lik important match feel good nearli fiv year didn think could groenefeld power player could match opponent relentless accuracus first fina new experienc said german think play good match tough match tri stay think whol week good
politics,mcconnel drunk remark row scotland first minister told group high school pupi okay get drunk jack mcconnel speak secondari pupi school highland problem  drink drink promotion criticis snp encourag young peopl get drunk scottish execut insist mr mcconnel speak adult comment recogni peopl get drunk first minister comment cam question answer session glenurquhart high school inver attend pupi number secondari school highland councillor event also defend mr mcconnel margaret davidson independ member loch ness west said first minister speak genera way sur speak adult tim one pupi ask mr mcconnel execut propos tackl age drink begin respon quip m sur age drink highland go speak evi  drink rail irrespon drink promotion said hop m go see preach anybodi realli seriou problem moment  drink impact peopl health able contro happen round mr mcconnel said regularli saw report effect  drink spree end assault even rap health consequenc  drink one thing go someth realli seriou  drink irrespon drink promotion help lead said far mani pub chain particular sell far much booz far cheapli encourag peopl drink far quickli go clamp mak promotion illega hop peopl enjoy drink sensibli cour even ad mean get drunk get situat peopl encourag get complet incapab sav money drink quickli snp holyrood leader nicola sturgeon said incredib gaff jack mcconnel know age drink issue scotland quit stagger politician particularli first minister encourag young peopl get drunk first minister withdraw remark immediat execut spokeswoman insist mr mcconnel mad remark adult youngster mind talk context adult  drink irrespon drink promotion said recogni peopl get drunk  drink drink promotion encourag acceptab
entertainment,grammi honour soul star charl memori soul legend ray charl dominat music world lead music ceremoni sunday give eight posthumou grammi award charl di got honour includ record album year alicia key actor jami foxx perform music tribut rb star key win four award grammi ceremoni lo ange u usher norah jon kanye west got three west led rac go ceremoni nominat charl last album geniu lov compani collection duet sold two million copi nam album year best pop voca album song go norah jon win record year best pop voca collabor heaven help us gladi knight pick best gospe performanc jon said m glad get recogni much lov actor jami foxx nominat oscar play charl hit movi ray dedic rendition georgia mind old friend key look replic grammi success win fiv pick best rb song know nam best rb album diari alicia key also shar award best rb voca performanc duo group usher boo usher victori best contemporari rb album confession best rapsing collabor yeah featur lil jon ludacri kanye west dominat rap categori win best rap song jesu walk best rap album colleg dropout one night big shock lost battl nam best new artist pop rock act maroon vertigo rock giant u win three trophi best rock song best short video best rock voca performanc duo group one main award song year go us singer songwriter john mayer daughter mayer also win best mal pop voca performanc britney spear pick first ever grammi song toxic nam best danc record rod stewart also win first grammi career get best tradition pop album award stardust great american songbook volum iii stewart said astound never win grammi tend giv british unless re sting high profi british victor year annie lennox meta group motorhead danc act basement jaxx take hom trophi elvi costello four nominat joss ston franz ferdinand three award got noth beach boy veteran brian wilson another first tim winner best rock instrument performanc represent triumph achiev music feel deserv m realli glad win said liv record composer john adam september tribut transmigrat soul perform new york philharmon win three classic priz former us president bill clinton pick second grammi career win speak word award audio version autobiographi lif
politics,kinnock urge reform lord neil kinnock said acceptanc seat hous lord allow help achiev progress substantia democrat reform bbc breakfast frost put mr kinnock refer lord member brigand mug briber gangster outgo european commission said comment mad year ago need put context said advocat reform need insid lord vot point addition democrat reform go tak plac go requir advocat lord peopl will vot mr kinnock ad second factor behind acceptanc peerag appointment chairman british councus histori demonstrat immen use british councus chairman hous lord conclusiv factor mr kinnock said thought decision quit long tim long reservat lord ad process reform develop substantia sufficient consequent tak factor consider decision mad glibli former labour leader said would probabli tak titl lord kinnock bedwellto first constituenc select
